Prefix	Last	First	Suffix	FilingType	StateDst	Year	Filing Year	FilingDate	DocID	DisclosureType
	ABBOTT	JESSICA A.		O	AO00	2013	2012	5/14/2013	8211526	FD
	ABEL	AMY		O	LC00	2013	2012	4/29/2013	8210932	FD
	ABERNATHY	SARAH L.		A	BU00	2013	2012	10/1/2013	8213170	FD
	ABERNATHY	SARAH L.		O	BU00	2013	2012	5/13/2013	8211368	FD
	ABOUCHER	KEITH S.		A	NW00	2013	2012	1/28/2015	9105903	FD
	ABOUCHER	KEITH S.		O	NW00	2013	2012	5/15/2013	8211633	FD
	ACEVEDO	EDWARD JOSEPH		O	IR00	2013	2012	5/15/2013	8211632	FD
HONORABLE	ACKERMAN	GARY		X	NY05	2013	2012	1/28/2013	8209738	FD
HONORABLE	ACKERMAN	GARY		T	NY05	2013	2013	3/14/2013	8209998	FD
	ACOCELLA	BARTHOLOMEW		T	CA06	2013	2013	8/29/2014	8216491	FD
	ADAMS	ALMA SHEALEY		O	NC12	2013	2012	8/1/2013	8212748	FD
	ADAMS	LASHON		O	GP00	2013	2012	3/4/2013	8209909	FD
HONORABLE	ADAMS	SANDRA "SANDY"		O	FL24	2013	2012	5/15/2013	8211641	FD
HONORABLE	ADAMS	SANDRA "SANDY"		T	FL24	2013	2013	1/17/2013	8209668	FD
	ADAMS	STEVE		O	CA41	2013	2012	6/24/2013	8212369	FD
	ADAMS	SUSAN P.		O	AC00	2013	2012	5/6/2013	8211077	FD
	ADAMSON	JEREMY E.		O	LC00	2013	2012	5/13/2013	8211369	FD
	ADAMSON	REED		O	IL10	2013	2012	1/28/2013	8209767	FD
	ADDIVINOLA	FRANK JOHN	JR.	O	MA05	2013	2012	2/26/2014	8214106	FD
	ADEDEJI	ADEBAYO M.		A	CB00	2013	2012	6/3/2013	8212153	FD
	ADEDEJI	ADEBAYO M.		O	CB00	2013	2012	5/15/2013	8211634	FD
HONORABLE	ADERHOLT	ROBERT B.		A	AL04	2013	2012	1/22/2014	8213930	FD
HONORABLE	ADERHOLT	ROBERT B.		O	AL04	2013	2012	5/15/2013	8210792	FD
	ADLER	ANN A.		O	TI00	2013	2012	5/14/2013	8211527	FD
	AGUILAR	PETE		X	CA31	2013	2012	5/17/2013	8210564	FD
	AGUILAR	PETE		O	CA31	2013	2012	6/17/2013	8212321	FD
	AHLGREN	KARL		A	OK02	2013	2012	3/15/2013	8209989	FD
	AHLGREN	KARL		O	OK02	2013	2012	3/14/2013	8209988	FD
	AHLGREN	KARL		A	OK02	2013	2012	10/30/2013	8213325	FD
	AIKEN	TIMOTHY B.		X	VA08	2013	2012	5/15/2013	8210457	FD
	AIKEN	TIMOTHY B.		O	VA08	2013	2012	7/9/2013	8212504	FD
	AIRIS	JANET F.		X	CB00	2013	2012	5/14/2013	8210363	FD
	AIRIS	JANET F.		A	CB00	2013	2012	7/31/2013	8212735	FD
	AIRIS	JANET F.		O	CB00	2013	2012	7/15/2013	8212590	FD
HONORABLE	AKIN	WILLIAM TODD		T	MO02	2013	2013	1/17/2013	8209669	FD
	AKPINAR	BAHADIR		O	LC00	2013	2012	5/15/2013	8211643	FD
	ALBRIGHT	LESLIE F.		O	AP00	2013	2012	5/14/2013	8211528	FD
	ALEXANDER	DOUGLAS		O	JU00	2013	2012	4/18/2013	8210839	FD
	ALEXANDER	LAVERNE		O	NJ10	2013	2012	5/14/2013	8211529	FD
HONORABLE	ALEXANDER	RODNEY		O	LA05	2013	2012	5/14/2013	8210793	FD
HONORABLE	ALEXANDER	RODNEY		T	LA05	2013	2013	10/30/2013	8213326	FD
	ALEXANDER	THOMAS A.		O	IR00	2013	2012	5/17/2013	9102816	FD
	ALIOTO	NICOLE D.		A	CA09	2013	2012	10/29/2013	8213327	FD
	ALIOTO	NICOLE D.		O	CA09	2013	2012	5/15/2013	8211631	FD
	ALLEGAR	ROBERT H.		O	GP00	2013	2012	5/7/2013	8211120	FD
